# SIMULATED DATA: region-level coordinates only, PLACEHOLDER counts and turnovers. Not MOZAIQ data.
villa_id,region,zone,lat,lon,weekly_turnovers,in_current
V081,Busan,mainland,35.18803,129.17654,2,0
V082,Busan,mainland,35.1384,129.16985,4,0
V083,Busan,mainland,35.12627,129.18803,3,0
V084,Namyangju,mainland,37.66432,127.18056,5,0
V085,Namyangju,mainland,37.62309,127.20194,2,0
V086,Namyangju,mainland,37.64613,127.2403,2,0
V087,Namyangju,mainland,37.6211,127.24552,3,0
V088,Ganghwa,mainland,37.71723,126.50925,5,0
V089,Ganghwa,mainland,37.77751,126.46368,4,0
V090,Ganghwa,mainland,37.758,126.49665,4,0
V091,Sokcho,mainland,38.1747,128.6047,2,0
V092,Sokcho,mainland,38.23291,128.61608,4,0
V093,Sokcho,mainland,38.19317,128.60956,3,0
V094,Pyeongchang,mainland,37.40194,128.36322,5,0
V095,Pyeongchang,mainland,37.33264,128.40236,4,0
V096,Pyeongchang,mainland,37.3756,128.42588,2,0
V097,Pyeongchang,mainland,37.36085,128.37052,5,0
V098,Hoengseong,mainland,37.50428,127.95309,3,0
V099,Hoengseong,mainland,37.48215,127.9557,2,0
V100,Hoengseong,mainland,37.51814,127.97515,4,0
